cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
0,270,1,10178044.0,100000002527114100;100000002578405100;100000001697501100;100000003942602100;100000004739664100,"фрагмент раздачи; доминирует peripheral, seed=1"
1,260,1,28308179.39,100000006866783100;100000004180097100;100000004071080100;100000004299488100;100000008443341100,"фрагмент раздачи; доминирует peripheral, seed=1"
2,169,5,22321373.85,100000003684369100;100000007908818100;100000005612411100;100000004358004100;100000003582677100,ядро с 5 seed и консолидацией; доминирует peripheral
3,166,8,22599859.56,100000003016635100;100000004707703100;100000004394765100;100000005287097100;100000000667713100,ядро с 8 seed и консолидацией; доминирует peripheral
4,129,1,26275380.33,100000000331309100;100000004759121100;100000008560717100;100000004475818100;100000000332284100,"фрагмент раздачи; доминирует peripheral, seed=1"
5,121,4,19946834.02,100000004015047100;100000001616816100;100000007747786100;100000002152857100;100000008748408100,ядро с 4 seed и консолидацией; доминирует peripheral
6,120,0,16045757.0,100000004679953100;100000008603629100;100000001660397100;100000005048668100;100000003880331100,"фрагмент раздачи; доминирует peripheral, seed=0"
7,104,1,21747439.59,100000006972210100;100000002838861100;100000005498992100;100000002718366100;100000008489922100,"фрагмент раздачи; доминирует peripheral, seed=1"
8,69,1,7400997.0,100000000343175100;100000003115284100;100000003635170100;100000007998965100;100000008730846100,"фрагмент раздачи; доминирует peripheral, seed=1"
9,61,0,4350466.67,100000005473151100;100000008104567100;100000004569484100;100000008379273100;100000005704413100,"фрагмент раздачи; доминирует peripheral, seed=0"
10,53,1,3021863.0,100000008636603100;100000003265158100;100000008680731100;100000000922570100;100000004386331100,компонента вокруг 1 seed; доминирует peripheral
11,51,0,13990812.0,100000001287955100;100000001282143100;100000005242320100;100000008742053100;100000008512827100,"фрагмент раздачи; доминирует terminal, seed=0"
12,51,1,8995500.62,100000001253557100;100000008603331100;100000002547110100;100000008547844100;100000008466579100,"фрагмент раздачи; доминирует peripheral, seed=1"
13,50,3,4135421.0,100000008733194100;100000005074393100;100000008003034100;100000008346837100;100000006020215100,компонента вокруг 3 seed; доминирует peripheral
14,49,1,10539332.84,100000004403675100;100000003823811100;100000005933757100;100000002605308100;100000001904863100,компонента вокруг 1 seed; доминирует peripheral
