gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,pass_through,truncated_by_depth,pagerank,betweenness,seed_neighbors
100000000343175100,distributor,0.624,8,0.642,"веер на 31 получателей (4,000,039 KZT), in_deg=8",0,True,8,31,178712.0,4000039.0,22.382598818210305,False,0.0007132581979384058,0.0011641127518991386,1
100000000456947100,peripheral,0.1,68,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000000580561100,peripheral,0.15,40,0.2126,нет выраженных признаков роли,0,True,2,3,27980.0,1488077.0,53.183595425303785,False,0.0008349888856684662,1.1888811083225246e-06,0
100000001415126100,peripheral,0.25,14,0.203,"слабый сток in_deg=1, 27,000 KZT (ниже порога terminal)",0,True,1,0,27000.0,0.0,0.0,False,0.00040961890543080563,0.0,0
100000001429930100,peripheral,0.25,13,0.2016,"слабый сток in_deg=1, 26,000 KZT (ниже порога terminal)",0,True,1,0,26000.0,0.0,0.0,False,0.00035079789147407855,0.0,0
100000001616816100,consolidator,0.65,5,0.6576,"получает от 5 плательщиков (176,195 KZT), отдаёт 3 (181,326 KZT)",0,True,5,3,176195.0,181326.0,1.0291211441868384,False,0.0024346571906844567,8.837349571864098e-05,0
100000001732159100,peripheral,0.15,32,0.2893,нет выраженных признаков роли,0,True,2,4,2378100.0,1505966.0,0.633264370716118,False,0.001095056787299685,2.0012831990095827e-05,2
100000002527114100,distributor,0.944,0,0.7067,"веер на 111 получателей (3,289,249 KZT), in_deg=3",0,True,3,111,129000.0,3289249.0,25.49805426356589,False,0.0008111056953132642,0.00019339132695379732,0
100000002916006100,peripheral,0.15,20,0.2201,нет выраженных признаков роли,0,True,0,1,0.0,32000.0,,False,0.00028556929421729154,0.0,1
100000003016635100,distributor,0.792,3,0.6998,"веер на 73 получателей (9,414,081 KZT), in_deg=8",0,True,8,73,586981.0,9414081.0,16.038135817002594,False,0.0011896363343877683,0.007857711538606338,0
100000003200071100,peripheral,0.15,63,0.1901,нет выраженных признаков роли,0,True,0,1,0.0,30000.0,,False,0.00028556929421729154,0.0,0
100000003265658100,peripheral,0.1,69,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000003349739100,peripheral,0.1,70,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000003684369100,distributor,0.748,2,0.7592,"веер на 62 получателей (8,588,655 KZT), in_deg=24",0,True,24,62,3848436.0,8588655.0,2.2317260830113845,False,0.0020202912084868697,0.002324361640196229,1
100000003770083100,peripheral,0.1,71,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000003975102100,peripheral,0.15,3,0.2536,нет выраженных признаков роли,0,True,1,2,25650.0,88500.0,3.4502923976608186,False,0.00034546521801698146,3.8044195466320786e-05,2
100000003977183100,peripheral,0.15,5,0.229,нет выраженных признаков роли,0,True,2,4,123800.0,766000.0,6.187399030694669,False,0.00033146038169944473,1.7833216624837866e-06,1
100000004007116100,peripheral,0.15,24,0.2069,нет выраженных признаков роли,0,True,3,4,764704.0,148000.0,0.19353893794200108,False,0.000627776957324844,0.0,0
100000004019124100,terminal,0.4793,3,0.4419,"деньги приходят (in_deg=3, 193,000 KZT) и не уходят; depth=0≠4",0,True,3,0,193000.0,0.0,0.0,False,0.001202868090203372,0.0,2
100000004021459100,peripheral,0.1,72,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000004041163100,peripheral,0.15,20,0.2975,нет выраженных признаков роли,0,True,1,2,50000.0,866000.0,17.32,False,0.0020847480556725217,2.3381328463676314e-05,2
100000004174835100,peripheral,0.1,73,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000004193835100,peripheral,0.15,3,0.2254,нет выраженных признаков роли,0,True,1,1,47000.0,5000.0,0.10638297872340426,False,0.000469930139695586,1.1888811083225246e-06,1
100000004269433100,peripheral,0.15,51,0.2257,нет выраженных признаков роли,0,True,0,1,0.0,1372000.0,,False,0.00028556929421729154,0.0,1
100000004358004100,distributor,0.544,2,0.587,"веер на 11 получателей (980,850 KZT), in_deg=0",0,True,0,11,0.0,980850.0,,False,0.00028556929421729154,0.0,1
100000004388983100,peripheral,0.15,59,0.1927,нет выраженных признаков роли,0,True,0,2,0.0,450816.0,,False,0.00028556929421729154,0.0,0
100000004714705100,peripheral,0.15,20,0.2202,нет выраженных признаков роли,0,True,0,1,0.0,36550.0,,False,0.00028556929421729154,0.0,1
100000004723755100,peripheral,0.15,2,0.1904,нет выраженных признаков роли,0,True,0,1,0.0,95000.0,,False,0.00028556929421729154,0.0,0
100000004813068100,peripheral,0.15,25,0.1929,нет выраженных признаков роли,0,True,0,3,0.0,297000.0,,False,0.00028556929421729154,0.0,0
100000004971871100,peripheral,0.15,53,0.2017,нет выраженных признаков роли,0,True,1,1,25400.0,5650.0,0.22244094488188976,False,0.0007430293125206688,0.0,0
100000005017150100,peripheral,0.1,74,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000005087431100,peripheral,0.1,75,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000005235389100,peripheral,0.1,76,0.1842,нет рёбер в выгрузке (orphan),0,True,0,0,0.0,0.0,,False,0.00028556929421729154,0.0,0
100000005264990100,peripheral,0.15,20,0.2241,нет выраженных признаков роли,0,True,1,2,17070.0,122000.0,7.147041593438781,False,0.00036399621508450213,6.063293652444875e-05,1
100000005370580100,peripheral,0.25,13,0.2015,"слабый сток in_deg=1, 24,075 KZT (ниже порога terminal)",0,True,1,0,24075.0,0.0,0.0,False,0.0003459684664848741,0.0,0
