rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.9934608540925266,"Приоритет 0,9935; координатор: 5 плательщиков→99 получателей; быстрые суммы 36%; до 3 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
2,100000004156082100,coordinator,0.9830151537230628,"Приоритет 0,9830; координатор: 5 плательщиков→26 получателей; быстрые суммы 96%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
3,100000008346837100,coordinator,0.9391533214709371,"Приоритет 0,9392; координатор: 9 плательщиков→25 получателей; быстрые суммы 85%; до 4 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
4,100000008603629100,coordinator,0.9281954329774614,"Приоритет 0,9282; координатор: 19 плательщиков→61 получателей; быстрые суммы 99%; до 4 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
5,100000008477350100,coordinator,0.9247256820877817,"Приоритет 0,9247; координатор: 11 плательщиков→39 получателей; быстрые суммы 57%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
6,100000000437046100,coordinator,0.923902728351127,"Приоритет 0,9239; координатор: 9 плательщиков→42 получателей; быстрые суммы 87%; до 3 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
7,100000001857829100,coordinator,0.9142830664294187,"Приоритет 0,9143; координатор: 6 плательщиков→16 получателей; быстрые суммы 82%; до 3 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
8,100000004400305100,coordinator,0.9122095505334826,"Приоритет 0,9122; координатор: 7 плательщиков→82 получателей; быстрые суммы 79%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
9,100000008547948100,coordinator,0.9014049525504152,"Приоритет 0,9014; координатор: 6 плательщиков→26 получателей; быстрые суммы 22%; до 4 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
10,100000007442518100,consolidator,0.9003673260797681,"Приоритет 0,9004; сборщик: 5 плательщиков, стартовых клиентов: 1; быстрые суммы 90%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
11,100000005933757100,distributor,0.8916258896797153,"Приоритет 0,8916; распределитель: 34 получателей; быстрые суммы 61%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
12,100000005782781100,coordinator,0.890717674970344,"Приоритет 0,8907; координатор: 6 плательщиков→10 получателей; быстрые суммы 100%; до 3 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
13,100000002957787100,distributor,0.885124606950103,"Приоритет 0,8851; распределитель: 34 получателей; быстрые суммы 76%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
14,100000002578405100,distributor,0.8805142132858863,"Приоритет 0,8805; распределитель: 116 получателей; быстрые суммы 67%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
15,100000006707582100,distributor,0.8768276033897927,"Приоритет 0,8768; распределитель: 14 получателей; быстрые суммы 95%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих."
16,100000003854444100,distributor,0.8720957654973085,"Приоритет 0,8721; распределитель: 14 получателей; быстрые суммы 74%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
17,100000002224132100,consolidator,0.8684006210990072,"Приоритет 0,8684; сборщик: 5 плательщиков, стартовых клиентов: 0; быстрые суммы 73%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
18,100000008748914100,distributor,0.8663777744502689,"Приоритет 0,8664; распределитель: 13 получателей; быстрые суммы 50%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
19,100000003242289100,distributor,0.8662922597864768,"Приоритет 0,8663; распределитель: 23 получателей; быстрые суммы 33%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
20,100000008710791100,distributor,0.8555492734821493,"Приоритет 0,8555; распределитель: 23 получателей; быстрые суммы 70%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
21,100000008512827100,distributor,0.8543917936864235,"Приоритет 0,8544; распределитель: 10 получателей; быстрые суммы 80%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
22,100000001697501100,distributor,0.8530904344237222,"Приоритет 0,8531; распределитель: 38 получателей; быстрые суммы 46%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
23,100000008413748100,distributor,0.8528692170818506,"Приоритет 0,8529; распределитель: 18 получателей; быстрые суммы 33%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
24,100000001530983100,distributor,0.8495106761565836,"Приоритет 0,8495; распределитель: 11 получателей; быстрые суммы 16%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
25,100000008489922100,distributor,0.8490287663107948,"Приоритет 0,8490; распределитель: 36 получателей; быстрые суммы 27%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
26,100000008165763100,coordinator,0.848691681316726,"Приоритет 0,8487; координатор: 15 плательщиков→17 получателей; быстрые суммы 68%; до 4 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих."
27,100000008748408100,distributor,0.8484818547316264,"Приоритет 0,8485; распределитель: 21 получателей; быстрые суммы 87%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
28,100000004160650100,distributor,0.8440336081427612,"Приоритет 0,8440; распределитель: 10 получателей; быстрые суммы 82%; до 1 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
29,100000008743913100,distributor,0.8435053380782918,"Приоритет 0,8435; распределитель: 13 получателей; быстрые суммы 45%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
30,100000007594394100,consolidator,0.8434274911032028,"Приоритет 0,8434; сборщик: 6 плательщиков, стартовых клиентов: 0; быстрые суммы 45%; до 2 входящих плательщиков за день; данные: исходящие выше наблюдаемых входящих, возможен внешний приток."
